annee,tour,departement,departement_nom,nuance,famille_politique,inscrits,votants,abstentions,exprimes,voix,taux_participation,taux_abstention,pct_exprimes,pct_inscrits,ancien_midi_pyrenees,ancien_languedoc_roussillon,typologie
1993,1,9,Ariège,SOC,Autres,108187,78152,30035,73446,26347,72.24,27.76,35.87,24.35,True,False,Rural
1993,1,9,Ariège,DVD,Droite,108187,78152,30035,73446,25144,72.24,27.76,34.23,23.24,True,False,Rural
1993,1,9,Ariège,FRN,Extrême droite,108187,78152,30035,73446,6224,72.24,27.76,8.47,5.75,True,False,Rural
1993,1,9,Ariège,VEC,Écologie,108187,78152,30035,73446,2566,72.24,27.76,3.49,2.37,True,False,Rural
1993,1,9,Ariège,GEC,Autres,108187,78152,30035,73446,2338,72.24,27.76,3.18,2.16,True,False,Rural
1993,1,9,Ariège,DIV,Autres,108187,78152,30035,73446,2125,72.24,27.76,2.89,1.96,True,False,Rural
1993,1,11,Aude,SOC,Autres,222909,162572,60337,152724,43260,72.93,27.07,28.33,19.41,False,True,Rural
1993,1,11,Aude,RPR,Droite,222909,162572,60337,152724,38123,72.93,27.07,24.96,17.1,False,True,Rural
1993,1,11,Aude,FRN,Extrême droite,222909,162572,60337,152724,18024,72.93,27.07,11.8,8.09,False,True,Rural
1993,1,11,Aude,UDF,Autres,222909,162572,60337,152724,13558,72.93,27.07,8.88,6.08,False,True,Rural
1993,1,11,Aude,VEC,Écologie,222909,162572,60337,152724,6762,72.93,27.07,4.43,3.03,False,True,Rural
1993,1,11,Aude,DIV,Autres,222909,162572,60337,152724,5976,72.93,27.07,3.91,2.68,False,True,Rural
1993,1,11,Aude,GEC,Autres,222909,162572,60337,152724,3169,72.93,27.07,2.07,1.42,False,True,Rural
1993,1,11,Aude,DVD,Droite,222909,162572,60337,152724,2370,72.93,27.07,1.55,1.06,False,True,Rural
1993,1,11,Aude,MAJ,Autres,222909,162572,60337,152724,2104,72.93,27.07,1.38,0.94,False,True,Rural
1993,1,12,Aveyron,DVD,Droite,212890,157354,55536,146565,40462,73.91,26.09,27.61,19.01,True,False,Rural
1993,1,12,Aveyron,RPR,Droite,212890,157354,55536,146565,29555,73.91,26.09,20.17,13.88,True,False,Rural
1993,1,12,Aveyron,UDF,Autres,212890,157354,55536,146565,17823,73.91,26.09,12.16,8.37,True,False,Rural
1993,1,12,Aveyron,RDG,Autres,212890,157354,55536,146565,12228,73.91,26.09,8.34,5.74,True,False,Rural
1993,1,12,Aveyron,MAJ,Autres,212890,157354,55536,146565,9917,73.91,26.09,6.77,4.66,True,False,Rural
1993,1,12,Aveyron,SOC,Autres,212890,157354,55536,146565,6708,73.91,26.09,4.58,3.15,True,False,Rural
1993,1,12,Aveyron,VEC,Écologie,212890,157354,55536,146565,6444,73.91,26.09,4.4,3.03,True,False,Rural
