annee,tour,departement,nuance,voix,inscrits,votants,abstentions,exprimes,id
2022,1,11,DVC,87,280882,144821,136061,140970,1
2022,1,11,DIV,927,280882,144821,136061,140970,2
2022,1,11,LR,6207,280882,144821,136061,140970,3
2022,1,11,DVG,452,280882,144821,136061,140970,4
2022,1,11,ENS,30926,280882,144821,136061,140970,5
2022,1,11,UDI,1573,280882,144821,136061,140970,6
2022,1,11,ECO,5613,280882,144821,136061,140970,7
2022,1,11,DSV,1819,280882,144821,136061,140970,8
2022,1,11,NUP,35371,280882,144821,136061,140970,9
2022,1,11,RN,42075,280882,144821,136061,140970,10
2022,1,11,REC,6587,280882,144821,136061,140970,11
2022,1,11,DXG,1647,280882,144821,136061,140970,12
2022,1,11,RDG,7686,280882,144821,136061,140970,13
2022,1,12,RDG,3835,219802,121582,98220,118066,14
2022,1,12,DXG,1054,219802,121582,98220,118066,15
2022,1,12,RN,16273,219802,121582,98220,118066,16
2022,1,12,NUP,29951,219802,121582,98220,118066,17
2022,1,12,DVD,5614,219802,121582,98220,118066,18
2022,1,12,ECO,2113,219802,121582,98220,118066,19
2022,1,12,LR,18161,219802,121582,98220,118066,20
2022,1,12,REC,3917,219802,121582,98220,118066,21
2022,1,12,ENS,35890,219802,121582,98220,118066,22
2022,1,12,DSV,1240,219802,121582,98220,118066,23
2022,1,12,DVG,18,219802,121582,98220,118066,24
2022,1,30,DIV,1358,557285,262523,294762,257109,25
2022,1,30,RN,75025,557285,262523,294762,257109,26
2022,1,30,REC,14296,557285,262523,294762,257109,27
2022,1,30,UDI,1400,557285,262523,294762,257109,28
2022,1,30,LR,16287,557285,262523,294762,257109,29
2022,1,30,REG,2598,557285,262523,294762,257109,30
2022,1,30,DSV,2365,557285,262523,294762,257109,31
2022,1,30,ECO,8270,557285,262523,294762,257109,32
2022,1,30,DVC,1344,557285,262523,294762,257109,33
2022,1,30,DVG,1109,557285,262523,294762,257109,34
2022,1,30,DVD,2579,557285,262523,294762,257109,35
2022,1,30,ENS,60667,557285,262523,294762,257109,36
2022,1,30,NUP,65610,557285,262523,294762,257109,37
2022,1,30,DXG,2675,557285,262523,294762,257109,38
2022,1,30,RDG,1526,557285,262523,294762,257109,39
2022,1,31,DXG,3964,937729,501478,436251,491361,40
2022,1,31,LR,26476,937729,501478,436251,491361,41
2022,1,31,DVC,2013,937729,501478,436251,491361,42
2022,1,31,RN,78380,937729,501478,436251,491361,43
2022,1,31,DIV,2269,937729,501478,436251,491361,44
2022,1,31,DSV,3479,937729,501478,436251,491361,45
2022,1,31,ENS,133853,937729,501478,436251,491361,46
2022,1,31,REG,4289,937729,501478,436251,491361,47
2022,1,31,REC,20930,937729,501478,436251,491361,48
2022,1,31,DVD,7211,937729,501478,436251,491361,49
2022,1,31,RDG,6448,937729,501478,436251,491361,50
2022,1,31,ECO,13903,937729,501478,436251,491361,51
2022,1,31,NUP,153424,937729,501478,436251,491361,52
2022,1,31,DVG,34722,937729,501478,436251,491361,53
2022,1,32,NUP,17343,147656,83383,64273,80819,54
2022,1,32,DSV,1269,147656,83383,64273,80819,55
2022,1,32,ECO,1854,147656,83383,64273,80819,56
2022,1,32,REG,848,147656,83383,64273,80819,57
2022,1,32,LR,4874,147656,83383,64273,80819,58
2022,1,32,DVG,9816,147656,83383,64273,80819,59
2022,1,32,ENS,20537,147656,83383,64273,80819,60
2022,1,32,RN,15178,147656,83383,64273,80819,61
2022,1,32,REC,3801,147656,83383,64273,80819,62
2022,1,32,RDG,4060,147656,83383,64273,80819,63
2022,1,32,DIV,585,147656,83383,64273,80819,64
2022,1,32,DXG,654,147656,83383,64273,80819,65
2022,1,34,DXG,2184,852554,409074,443480,401493,66
2022,1,34,DIV,479,852554,409074,443480,401493,67
2022,1,34,DVG,16967,852554,409074,443480,401493,68
2022,1,34,ENS,87052,852554,409074,443480,401493,69
2022,1,34,NUP,105721,852554,409074,443480,401493,70
2022,1,34,DVC,2445,852554,409074,443480,401493,71
2022,1,34,RN,83235,852554,409074,443480,401493,72
2022,1,34,DVD,31658,852554,409074,443480,401493,73
2022,1,34,REC,22454,852554,409074,443480,401493,74
2022,1,34,DSV,4185,852554,409074,443480,401493,75
2022,1,34,LR,10206,852554,409074,443480,401493,76
2022,1,34,ECO,13774,852554,409074,443480,401493,77
2022,1,34,RDG,18748,852554,409074,443480,401493,78
2022,1,34,REG,185,852554,409074,443480,401493,79
2022,1,34,UDI,2200,852554,409074,443480,401493,80
2022,1,46,DVD,228,139528,82866,56662,80981,81
2022,1,46,DVG,17098,139528,82866,56662,80981,82
2022,1,46,REC,2329,139528,82866,56662,80981,83
2022,1,46,RN,8579,139528,82866,56662,80981,84
2022,1,46,DVC,692,139528,82866,56662,80981,85
2022,1,46,ECO,342,139528,82866,56662,80981,86
2022,1,46,NUP,18590,139528,82866,56662,80981,87
2022,1,46,LR,22471,139528,82866,56662,80981,88
2022,1,46,ENS,9103,139528,82866,56662,80981,89
2022,1,46,DIV,957,139528,82866,56662,80981,90
2022,1,46,DXG,592,139528,82866,56662,80981,91
2022,1,48,DXG,267,59915,34973,24942,33990,92
2022,1,48,ENS,5996,59915,34973,24942,33990,93
2022,1,48,RN,3704,59915,34973,24942,33990,94
2022,1,48,DVD,4663,59915,34973,24942,33990,95
2022,1,48,UDI,6371,59915,34973,24942,33990,96
2022,1,48,REC,1137,59915,34973,24942,33990,97
2022,1,48,DIV,2876,59915,34973,24942,33990,98
2022,1,48,ECO,339,59915,34973,24942,33990,99
2022,1,48,NUP,8637,59915,34973,24942,33990,100
2022,1,65,NUP,22044,177792,94825,82967,92511,101
2022,1,65,ECO,1941,177792,94825,82967,92511,102
2022,1,65,DIV,3742,177792,94825,82967,92511,103
2022,1,65,DSV,547,177792,94825,82967,92511,104
2022,1,65,ENS,21899,177792,94825,82967,92511,105
2022,1,65,REC,3351,177792,94825,82967,92511,106
2022,1,65,REG,465,177792,94825,82967,92511,107
2022,1,65,DVG,10213,177792,94825,82967,92511,108
2022,1,65,LR,5098,177792,94825,82967,92511,109
2022,1,65,RDG,6555,177792,94825,82967,92511,110
2022,1,65,RN,15879,177792,94825,82967,92511,111
2022,1,65,DXG,777,177792,94825,82967,92511,112
2022,1,66,DXG,2086,363338,174107,189231,169916,113
2022,1,66,RN,54276,363338,174107,189231,169916,114
2022,1,66,NUP,38645,363338,174107,189231,169916,115
2022,1,66,REC,9221,363338,174107,189231,169916,116
2022,1,66,LR,10736,363338,174107,189231,169916,117
2022,1,66,ECO,1830,363338,174107,189231,169916,118
2022,1,66,DVD,616,363338,174107,189231,169916,119
2022,1,66,ENS,38352,363338,174107,189231,169916,120
2022,1,66,REG,4554,363338,174107,189231,169916,121
2022,1,66,DVG,4727,363338,174107,189231,169916,122
2022,1,66,DSV,2438,363338,174107,189231,169916,123
2022,1,66,DIV,2435,363338,174107,189231,169916,124
2022,1,81,DVG,6341,299152,162556,136596,158039,125
2022,1,81,RN,35041,299152,162556,136596,158039,126
2022,1,81,REC,6083,299152,162556,136596,158039,127
2022,1,81,ENS,37368,299152,162556,136596,158039,128
2022,1,81,RDG,4436,299152,162556,136596,158039,129
2022,1,81,ECO,3427,299152,162556,136596,158039,130
2022,1,81,REG,4017,299152,162556,136596,158039,131
2022,1,81,DSV,1495,299152,162556,136596,158039,132
2022,1,81,LR,10852,299152,162556,136596,158039,133
2022,1,81,DIV,11,299152,162556,136596,158039,134
2022,1,81,NUP,39237,299152,162556,136596,158039,135
2022,1,81,DVD,8391,299152,162556,136596,158039,136
2022,1,81,DXG,1340,299152,162556,136596,158039,137
2022,1,82,DXG,1284,189336,98785,90551,96277,138
2022,1,82,REG,249,189336,98785,90551,96277,139
2022,1,82,ENS,18279,189336,98785,90551,96277,140
2022,1,82,DVG,3774,189336,98785,90551,96277,141
2022,1,82,NUP,25035,189336,98785,90551,96277,142
2022,1,82,DSV,564,189336,98785,90551,96277,143
2022,1,82,RN,25797,189336,98785,90551,96277,144
2022,1,82,LR,4378,189336,98785,90551,96277,145
2022,1,82,RDG,9892,189336,98785,90551,96277,146
2022,1,82,DIV,2367,189336,98785,90551,96277,147
